primaryCaseID,justiceID,justiceName
1270,41,JRCartwright
1270,42,JHGFauteux
1270,43,DCAbbott
1270,50,LPPigeon
1271,43,DCAbbott
1271,45,RMartland
1271,47,RARitchie
1271,49,WFSpence
1273,41,JRCartwright
1273,42,JHGFauteux
1273,43,DCAbbott
1273,47,RARitchie
1274,42,JHGFauteux
1274,43,DCAbbott
1274,48,EMHall
1274,50,LPPigeon
1275,41,JRCartwright
1275,42,JHGFauteux
1275,43,DCAbbott
1275,45,RMartland
1276,43,DCAbbott
1276,48,EMHall
1276,49,WFSpence
1276,50,LPPigeon
1277,42,JHGFauteux
1277,43,DCAbbott
1277,45,RMartland
1277,50,LPPigeon
1278,41,JRCartwright
1278,42,JHGFauteux
1278,46,WJudson
1278,48,EMHall
1279,41,JRCartwright
1279,42,JHGFauteux
1279,43,DCAbbott
1279,50,LPPigeon
1280,41,JRCartwright
1280,42,JHGFauteux
1280,43,DCAbbott
1280,50,LPPigeon
1281,41,JRCartwright
1281,42,JHGFauteux
1281,43,DCAbbott
1281,50,LPPigeon
1282,41,JRCartwright
1282,42,JHGFauteux
1282,45,RMartland
1282,50,LPPigeon
1283,42,JHGFauteux
1283,43,DCAbbott
1283,45,RMartland
1283,49,WFSpence
1284,42,JHGFauteux
1284,47,RARitchie
1284,49,WFSpence
1284,50,LPPigeon
1285,42,JHGFauteux
1285,43,DCAbbott
1285,48,EMHall
1285,50,LPPigeon
1286,43,DCAbbott
1286,46,WJudson
1286,48,EMHall
1286,50,LPPigeon
1287,41,JRCartwright
1287,43,DCAbbott
1287,46,WJudson
1287,48,EMHall
1288,41,JRCartwright
1288,42,JHGFauteux
1288,43,DCAbbott
1288,46,WJudson
1289,43,DCAbbott
1289,45,RMartland
1289,46,WJudson
1289,47,RARitchie
1290,41,JRCartwright
1290,42,JHGFauteux
1290,46,WJudson
1290,47,RARitchie
1291,42,JHGFauteux
1291,43,DCAbbott
1291,48,EMHall
1291,49,WFSpence
1292,43,DCAbbott
1292,46,WJudson
1292,48,EMHall
1292,49,WFSpence
1293,43,DCAbbott
1293,48,EMHall
1294,42,JHGFauteux
1294,43,DCAbbott
1294,46,WJudson
1294,49,WFSpence
1295,42,JHGFauteux
1295,43,DCAbbott
1295,48,EMHall
1295,50,LPPigeon
1296,42,JHGFauteux
1296,43,DCAbbott
1296,49,WFSpence
1296,50,LPPigeon
1297,42,JHGFauteux
1297,43,DCAbbott
1297,49,WFSpence
1297,50,LPPigeon
1298,42,JHGFauteux
1298,43,DCAbbott
1298,48,EMHall
1298,50,LPPigeon
1299,42,JHGFauteux
1299,43,DCAbbott
1299,49,WFSpence
1299,50,LPPigeon
1301,41,JRCartwright
1301,42,JHGFauteux
1301,45,RMartland
1301,47,RARitchie
1302,42,JHGFauteux
1302,43,DCAbbott
1302,46,WJudson
1302,50,LPPigeon
1303,42,JHGFauteux
1303,43,DCAbbott
1303,47,RARitchie
1303,50,LPPigeon
1304,43,DCAbbott
1304,46,WJudson
1304,49,WFSpence
1304,50,LPPigeon
1305,42,JHGFauteux
1305,45,RMartland
1305,47,RARitchie
1305,48,EMHall
1306,42,JHGFauteux
1306,43,DCAbbott
1306,45,RMartland
1306,48,EMHall
1307,41,JRCartwright
1307,42,JHGFauteux
1307,43,DCAbbott
1307,50,LPPigeon
1308,41,JRCartwright
1308,42,JHGFauteux
1308,45,RMartland
1308,49,WFSpence
1309,42,JHGFauteux
1309,43,DCAbbott
1309,45,RMartland
1309,50,LPPigeon
1310,41,JRCartwright
1310,42,JHGFauteux
1310,45,RMartland
1310,50,LPPigeon
1311,41,JRCartwright
1311,42,JHGFauteux
1311,43,DCAbbott
1311,50,LPPigeon
1312,41,JRCartwright
1312,46,WJudson
1312,47,RARitchie
1312,49,WFSpence
1313,41,JRCartwright
1313,43,DCAbbott
1313,45,RMartland
1313,49,WFSpence
1314,42,JHGFauteux
1314,43,DCAbbott
1314,45,RMartland
1314,47,RARitchie
1316,42,JHGFauteux
1316,43,DCAbbott
1316,47,RARitchie
1316,50,LPPigeon
1317,43,DCAbbott
1317,45,RMartland
1317,48,EMHall
1317,49,WFSpence
1318,42,JHGFauteux
1318,45,RMartland
1318,46,WJudson
1318,49,WFSpence
1319,41,JRCartwright
1319,45,RMartland
1319,46,WJudson
1319,49,WFSpence
1320,42,JHGFauteux
1320,43,DCAbbott
1320,46,WJudson
1320,47,RARitchie
1322,42,JHGFauteux
1322,43,DCAbbott
1322,46,WJudson
1322,50,LPPigeon
1323,41,JRCartwright
1323,45,RMartland
1323,47,RARitchie
1323,48,EMHall
1324,42,JHGFauteux
1324,46,WJudson
1324,47,RARitchie
1324,48,EMHall
1325,43,DCAbbott
1325,45,RMartland
1325,47,RARitchie
1325,49,WFSpence
1326,41,JRCartwright
1326,43,DCAbbott
1326,45,RMartland
1326,49,WFSpence
1327,41,JRCartwright
1327,42,JHGFauteux
1327,43,DCAbbott
1327,46,WJudson
1328,42,JHGFauteux
1328,43,DCAbbott
1328,45,RMartland
1328,50,LPPigeon
1329,42,JHGFauteux
1329,43,DCAbbott
1329,48,EMHall
1329,50,LPPigeon
1330,42,JHGFauteux
1330,45,RMartland
1330,46,WJudson
1330,49,WFSpence
1331,42,JHGFauteux
1331,43,DCAbbott
1331,48,EMHall
1331,50,LPPigeon
1333,42,JHGFauteux
1333,43,DCAbbott
1333,49,WFSpence
1333,50,LPPigeon
1334,41,JRCartwright
1334,46,WJudson
1334,49,WFSpence
1334,50,LPPigeon
1335,41,JRCartwright
1335,43,DCAbbott
1335,45,RMartland
1335,48,EMHall
1336,42,JHGFauteux
1336,43,DCAbbott
1336,46,WJudson
1336,49,WFSpence
1337,41,JRCartwright
1337,42,JHGFauteux
1337,43,DCAbbott
1337,50,LPPigeon
1338,41,JRCartwright
1338,45,RMartland
1338,48,EMHall
1338,49,WFSpence
1339,42,JHGFauteux
1339,43,DCAbbott
1339,47,RARitchie
1339,50,LPPigeon
1340,42,JHGFauteux
1340,45,RMartland
1340,47,RARitchie
1340,50,LPPigeon
1342,42,JHGFauteux
1342,43,DCAbbott
1342,48,EMHall
1342,50,LPPigeon
1343,42,JHGFauteux
1343,43,DCAbbott
1343,46,WJudson
1343,50,LPPigeon
1344,42,JHGFauteux
1344,43,DCAbbott
1344,45,RMartland
1344,46,WJudson
1345,43,DCAbbott
1345,45,RMartland
1345,46,WJudson
1345,47,RARitchie
1346,42,JHGFauteux
1346,43,DCAbbott
1346,46,WJudson
1346,50,LPPigeon
1347,42,JHGFauteux
1347,43,DCAbbott
1348,42,JHGFauteux
1348,45,RMartland
1348,46,WJudson
1348,50,LPPigeon
1350,42,JHGFauteux
1350,43,DCAbbott
1350,48,EMHall
1350,50,LPPigeon
1351,41,JRCartwright
1351,42,JHGFauteux
1351,43,DCAbbott
1351,50,LPPigeon
1352,41,JRCartwright
1352,42,JHGFauteux
1352,43,DCAbbott
1352,50,LPPigeon
1354,42,JHGFauteux
1354,43,DCAbbott
1354,47,RARitchie
1354,50,LPPigeon
1355,41,JRCartwright
1355,42,JHGFauteux
1355,43,DCAbbott
1355,45,RMartland
1357,41,JRCartwright
1357,42,JHGFauteux
1357,43,DCAbbott
1357,47,RARitchie
1358,41,JRCartwright
1358,43,DCAbbott
1359,41,JRCartwright
1359,49,WFSpence
1360,41,JRCartwright
1360,42,JHGFauteux
1360,43,DCAbbott
1360,49,WFSpence
1361,41,JRCartwright
1361,45,RMartland
1361,47,RARitchie
1361,48,EMHall
1362,41,JRCartwright
1362,45,RMartland
1362,46,WJudson
1362,48,EMHall
1363,41,JRCartwright
1363,42,JHGFauteux
1363,43,DCAbbott
1363,45,RMartland
1364,41,JRCartwright
1364,42,JHGFauteux
1364,48,EMHall
1364,49,WFSpence
1365,42,JHGFauteux
1365,43,DCAbbott
1365,46,WJudson
1365,47,RARitchie
1366,41,JRCartwright
1366,45,RMartland
1366,46,WJudson
1366,48,EMHall
1368,41,JRCartwright
1368,42,JHGFauteux
1368,43,DCAbbott
1368,49,WFSpence
1369,42,JHGFauteux
1369,43,DCAbbott
1369,47,RARitchie
1369,48,EMHall
1370,41,JRCartwright
1370,45,RMartland
1370,47,RARitchie
1370,49,WFSpence
1371,41,JRCartwright
1371,45,RMartland
1371,46,WJudson
1371,47,RARitchie
1371,48,EMHall
1371,49,WFSpence
1372,41,JRCartwright
1372,45,RMartland
1372,46,WJudson
1372,47,RARitchie
1372,48,EMHall
1372,49,WFSpence
1373,42,JHGFauteux
1373,45,RMartland
1373,46,WJudson
1373,47,RARitchie
1374,42,JHGFauteux
1374,45,RMartland
1374,46,WJudson
1374,50,LPPigeon
1375,41,JRCartwright
1375,42,JHGFauteux
1375,43,DCAbbott
1375,50,LPPigeon
1379,41,JRCartwright
1379,46,WJudson
1379,48,EMHall
1379,50,LPPigeon
1381,41,JRCartwright
1381,42,JHGFauteux
1381,43,DCAbbott
1381,50,LPPigeon
1382,42,JHGFauteux
1382,43,DCAbbott
1382,46,WJudson
1382,50,LPPigeon
1383,42,JHGFauteux
1383,43,DCAbbott
1383,48,EMHall
1383,50,LPPigeon
1384,43,DCAbbott
1384,46,WJudson
1384,47,RARitchie
1384,50,LPPigeon
1385,42,JHGFauteux
1385,43,DCAbbott
1385,48,EMHall
1385,50,LPPigeon
1386,41,JRCartwright
1386,46,WJudson
1388,42,JHGFauteux
1388,45,RMartland
1388,46,WJudson
1388,47,RARitchie
1389,41,JRCartwright
1389,47,RARitchie
1389,49,WFSpence
1389,50,LPPigeon
1390,41,JRCartwright
1390,42,JHGFauteux
1391,41,JRCartwright
1391,46,WJudson
1391,47,RARitchie
1391,49,WFSpence
1392,41,JRCartwright
1392,46,WJudson
1392,49,WFSpence
1392,50,LPPigeon
1393,41,JRCartwright
1393,42,JHGFauteux
1393,46,WJudson
1393,49,WFSpence
1394,42,JHGFauteux
1394,43,DCAbbott
1394,46,WJudson
1394,48,EMHall
1395,41,JRCartwright
1395,45,RMartland
1395,46,WJudson
1395,49,WFSpence
1396,42,JHGFauteux
1396,43,DCAbbott
1396,45,RMartland
1396,50,LPPigeon
1397,42,JHGFauteux
1397,45,RMartland
1397,46,WJudson
1397,50,LPPigeon
1398,42,JHGFauteux
1398,46,WJudson
1398,48,EMHall
1398,49,WFSpence
1399,41,JRCartwright
1399,45,RMartland
1399,46,WJudson
1399,49,WFSpence
1400,41,JRCartwright
1400,45,RMartland
1400,46,WJudson
1400,49,WFSpence
1401,42,JHGFauteux
1401,43,DCAbbott
1401,46,WJudson
1401,50,LPPigeon
1402,42,JHGFauteux
1402,43,DCAbbott
1402,46,WJudson
1402,47,RARitchie
1403,41,JRCartwright
1403,42,JHGFauteux
1403,45,RMartland
1403,50,LPPigeon
1404,41,JRCartwright
1404,43,DCAbbott
1404,49,WFSpence
1404,50,LPPigeon
1406,42,JHGFauteux
1406,45,RMartland
1406,46,WJudson
1406,50,LPPigeon
1407,42,JHGFauteux
1407,43,DCAbbott
1407,46,WJudson
1407,50,LPPigeon
1408,41,JRCartwright
1408,45,RMartland
1408,46,WJudson
